#Name,Ra_deg,Dec_deg,Class,Remarks
Gaia21azl,257.2821,-48.9366,PSPL?,
Gaia21azo,283.8765,-10.8496,PSPL?,ZTF21aaiugqi 
Gaia21azr,275.1732,-27.3613,PSPL?,
Gaia21bad,277.8767,-24.0631,PSPL?,in ASAS-SN 
Gaia21bbi,292.7609,19.2425,Par?,ZTF21aamabwa OMEGA TOI 
Gaia21bde,286.3031,14.8600,PSPL,ZTF21aaowecs 
Gaia21bfr,281.5346,-10.2073,PSPL,ZTF21aapwdxb OMEGA TOI BHTOM TOI 
Gaia21bgn,280.6953,-19.9865,?,
Gaia21bhp,273.8857,-30.5880,PSPL?,
Gaia21bia,268.2426,-29.0012,PSPL,MOA-2021-BLG-010 KMT-2021-BLG-0164 OMEGA TOI 
Gaia21bik,270.2203,-36.0699,PSPL,
Gaia21blg,230.4771,-54.7816,PSPL,OMEGA TOI BHTOM TOI 
Gaia21blx,223.3143,-62.0252,bin/par,OMEGA TOI BHTOM TOI 
Gaia21blv,224.8753,-52.9827,bin/par?,OMEGA TOI 
Gaia21bol,171.5904,-69.3585,PSPL?,OMEGA TOI BHTOM TOI 
Gaia21bon,172.3562,-67.1592,PSPL,OMEGA TOI BHTOM TOI 
Gaia21bop,194.5063,-57.4950,PSPL?,OMEGA TOI BHTOM TOI 
Gaia21bqa,172.1598,-56.6100,PSPL,
Gaia21brx,77.7649,24.4288,bin/par?,ZTF20acwivua BHTOM TOI 
